DATUM,PRIS,SUBSTANSVÄRDE,BERÄKNAT_SUBSTANSVÄRDE,DISCOUNT/PREMIUM
2022-08-25,179.08,199.0,216.37,0.2082309582309581
2022-08-26,174.22,199.0,213.87,0.2275858110435082
2022-08-29,173.46,199.0,204.13,0.176813098120604
2022-08-30,173.36,199.0,203.83,0.1757614213197969
2022-08-31,168.7,199.0,201.97,0.1972139893301719
2022-09-01,165.92,199.0,198.16,0.1943105110896818
2022-09-02,171.2,199.0,202.57,0.1832359813084112
2022-09-05,170.2,199.0,200.56,0.1783783783783784
2022-09-06,169.92,199.0,200.91,0.1823799435028249
2022-09-07,168.82,199.0,200.08,0.185167634166568
2022-09-08,170.7,199.0,201.96,0.1831282952548331
2022-09-09,173.32,199.0,203.64,0.1749365335795061
2022-09-12,176.56,199.0,206.51,0.1696307204349795
2022-09-13,173.3,199.0,202.93,0.1709751875360645
2022-09-14,171.18,199.0,201.25,0.1756630447482182
2022-09-15,172.46,199.0,201.12,0.166183462831961
2022-09-16,169.84,199.0,197.93,0.165390956194065
2022-09-19,169.36,199.0,197.66,0.1670996693434103
2022-09-20,165.1,199.0,196.16,0.1881284070260448
2022-09-21,166.88,199.0,197.82,0.1854026845637583
2022-09-22,162.04,199.0,193.36,0.1932856084917305
2022-09-23,160.64,199.0,192.52,0.1984561752988049
2022-09-26,159.48,199.0,191.38,0.2000250815149235
2022-09-27,161.1,199.0,193.01,0.1980757293606455
2022-09-28,163.96,199.0,194.48,0.186142961697975
2022-09-29,158.98,199.0,192.02,0.2078248836331615
2022-09-30,163.58,199.0,194.47,0.1888372661694582
2022-10-03,165.56,199.0,192.54,0.162962068132399
2022-10-04,170.92,199.0,199.09,0.1648139480458695
2022-10-05,169.02,199.0,197.34,0.1675541356052537
2022-10-06,169.48,199.0,197.79,0.1670403587443946
2022-10-07,163.68,199.0,194.94,0.190982404692082
2022-10-10,161.04,199.0,194.85,0.2099478390461997
2022-10-11,161.38,199.0,194.32,0.2041145123311439
2022-10-12,161.1,199.0,194.28,0.2059590316573557
2022-10-13,164.18,199.0,193.62,0.1793153855524424
2022-10-14,164.18,199.0,197.02,0.2000243635034718
2022-10-17,169.76,199.0,199.83,0.1771324222431669
2022-10-18,173.92,199.0,201.64,0.1593836246550138
2022-10-19,171.2,199.0,199.13,0.163142523364486
2022-10-20,171.12,204.0,199.47,0.1656732117812061
2022-10-21,171.06,204.0,207.99,0.21588916169765
2022-10-24,176.0,204.0,211.5,0.2017045454545454
2022-10-25,181.24,204.0,213.66,0.1788788346943279
2022-10-26,180.98,204.0,214.41,0.1847165432644491
2022-10-27,180.14,204.0,213.84,0.1870767181081382
2022-10-28,181.56,204.0,214.19,0.1797202026878166
2022-10-31,180.36,204.0,214.27,0.1880128631625637
2022-11-01,180.24,204.0,215.21,0.1940190856635597
2022-11-02,179.58,204.0,215.46,0.1997995322418977
2022-11-03,178.16,204.0,213.99,0.2011113605747643
2022-11-04,180.8,204.0,216.31,0.1964048672566371
2022-11-07,180.86,204.0,217.13,0.2005418555789007
2022-11-08,184.32,204.0,219.44,0.1905381944444444
2022-11-09,184.16,204.0,219.17,0.1901064291920069
2022-11-10,193.54,204.0,225.96,0.1675105921256588
2022-11-11,193.16,204.0,225.69,0.16840960861462
2022-11-14,192.14,204.0,226.45,0.1785677110440304
2022-11-15,191.76,204.0,225.18,0.1742803504380476
2022-11-16,189.34,204.0,223.33,0.1795183268194782
2022-11-17,189.54,204.0,222.86,0.1757940276458796
2022-11-18,191.48,204.0,224.56,0.1727595571339044
2022-11-21,190.74,204.0,225.63,0.1829191569675998
2022-11-22,192.08,204.0,226.47,0.1790399833402748
2022-11-23,193.1,204.0,227.37,0.1774728120145003
2022-11-24,193.58,204.0,227.11,0.1732100423597479
2022-11-25,195.24,204.0,227.25,0.1639520590043023
2022-11-28,193.28,204.0,226.12,0.169908940397351
2022-11-29,191.42,204.0,225.85,0.1798662626684777
2022-11-30,193.0,204.0,227.13,0.1768393782383419
2022-12-01,193.92,204.0,228.7,0.1793523102310231
2022-12-02,193.2,204.0,229.15,0.1860766045548655
2022-12-05,195.3,204.0,228.87,0.1718894009216589
2022-12-06,192.6,204.0,226.7,0.1770508826583592
2022-12-07,191.32,204.0,224.49,0.173374451181267
2022-12-08,190.42,204.0,224.79,0.1804957462451423
2022-12-09,193.9,204.0,226.29,0.1670448684889117
2022-12-12,193.96,204.0,226.26,0.1665291812744894
2022-12-13,197.18,204.0,228.92,0.1609696723805658
2022-12-14,198.08,204.0,229.27,0.1574616316639741
2022-12-15,192.82,204.0,224.62,0.1649206513847111
2022-12-16,189.22,204.0,221.02,0.1680583447838495
2022-12-19,188.92,204.0,220.93,0.1694367986449292
2022-12-20,187.92,204.0,220.38,0.1727330779054917
2022-12-21,190.8,204.0,222.8,0.1677148846960167
2022-12-22,188.32,204.0,220.78,0.1723661852166525
2022-12-23,189.44,204.0,221.81,0.1708720439189189
2022-12-26,189.44,204.0,221.79,0.1707664695945945
